Regions,1993,1995,1996,1999,2000,2003,2004,2007,2008,2011,2012,2016,2018
Татарстан,22.40,25.37,61.45,17.00,68.89,59.5,82.60,81.07,79.24,77.80,82.70,85.27,82.09
Башкортостан,8.51,15.32,51.010,14.49,65.71,38.9,91.79,83.12,88.01,70.50,75.28,56.37,77.69
Чувашия,8.90,4.72,31.82,13.15,44.31,37.3,67.12,62.27,66.48,43.40,62.32,50.92,77.29
Удмуртия,16.19,6.37,52.83,36.65,61.06,42.1,75.97,60.57,70.46,45.10,65.75,50.52,76.23
Марий Эл,11.42,05.010,40.74,21.33,44.83,34.6,67.30,67.54,77.22,52.20,59.98,46.70,73.99
Самарская область,16.26,11.94,51.95,20.00,29.050,32.6,63.27,56.04,64.08,39.10,58.56,50.77,75.82
Саратовская область,12.30,7.96,44.080,22.63,49.29,44.3,70.79,64.81,75.62,64.90,70.64,68.17,78.33
Нижегородская область,13.96,10.47,51.74,19.96,32.59,32.0,65.88,60.63,61.84,45.00,63.90,58.15,77.27
Пермский край,27.120,9.65,70.84,19.81,60.78,30.70,72.74,62.06,67.30,36.30,62.94,42.70,75.35
Кировская область,12.48,5.84,50.70,33.41,58.30,32.9,65.52,55.38,76.29,34.90,57.94,37.96,70.41
Ульяновская область,12.23,4.70,37.83,23.86,21.60,34.0,66.00,66.24,66.93,43.60,58.18,48.46,74.27
Мордовия,7.65,19.56,45.63,15.46,59.86,76.1,91.35,93.41,90.31,91.60,87.06,84.36,85.35
Оренбургская область,13.16,12.28,40.81,23.28,45.21,27.60,58.79,60.31,60.81,34.90,56.89,40.85,72.97
Пензенская область,8.56,4.73,35.50,29.31,49.35,45.1,64.56,70.31,71.40,56.30,64.27,64.26,79.98
